idx,pred_ms,exp_ms,pd
0,0.655,52.550,0.000000
1,0.666,29.444,0.000000
2,0.512,21.003,0.000000
3,0.584,36.121,0.000000
4,0.642,19.875,0.000000
5,0.432,20.538,0.000000
6,0.404,14.524,0.000000
7,0.676,16.334,0.000000
8,0.358,14.683,0.000000
9,0.398,14.110,0.000000
10,0.387,12.469,0.000000
11,0.692,14.127,0.000000
12,0.346,16.426,0.000000
13,0.562,16.173,0.000000
14,0.372,16.946,0.000000
15,0.358,16.072,0.000000
16,0.351,14.294,0.000000
17,0.372,14.604,0.000000
18,0.355,13.952,0.000183
19,0.355,15.609,0.000000
20,0.353,17.494,0.000000
21,0.354,20.497,0.000000
22,0.367,23.330,0.000000
23,0.372,11.818,0.000000
24,1.398,21.145,0.000183
25,0.537,17.054,0.000000
26,0.582,21.294,0.000000
27,0.556,22.047,0.000000
28,1.228,17.182,0.000000
29,0.582,25.974,0.000000
30,0.619,23.222,0.000000
31,0.520,30.301,0.000000
32,2.647,25.841,0.000000
33,0.517,24.064,0.000000
34,0.518,23.203,0.000000
35,0.584,23.713,0.000183
36,0.638,21.197,0.000000
37,0.348,21.323,0.000000
38,0.559,24.362,0.000000
39,0.650,21.821,0.000000
40,0.806,27.732,0.000000
41,0.674,28.087,0.000000
42,1.321,22.761,0.000000
43,1.087,28.517,0.000000
44,0.743,30.804,0.000000
45,0.679,23.795,0.000000
46,0.511,34.405,0.000000
47,0.602,29.396,0.000000
48,1.343,26.741,0.000000
49,0.793,25.082,0.000000
50,0.573,25.619,0.000000
51,0.585,22.689,0.000000
52,0.393,25.042,0.000000
53,0.608,22.856,0.000000
54,0.370,23.493,0.000000
55,0.456,23.337,0.000000
56,0.641,21.134,0.000183
57,0.767,27.855,0.000000
58,0.572,21.886,0.000000
59,0.770,23.614,0.000000
60,0.646,21.042,0.000000
61,0.383,25.722,0.000000
62,0.619,24.593,0.000000
63,0.664,26.859,0.000000
64,1.945,26.189,0.000000
65,0.830,24.001,0.000000
66,0.784,29.141,0.000000
67,0.755,28.944,0.000000
68,0.438,18.212,0.000000
69,0.616,29.268,0.000000
70,0.529,27.101,0.000000
71,0.925,38.521,0.000000
72,0.656,36.279,0.000000
73,1.522,23.974,0.000000
74,0.793,25.090,0.000000
75,0.841,28.588,0.000000
76,0.786,29.344,0.000000
77,0.825,26.244,0.000000
78,0.378,24.759,0.000000
79,0.734,30.183,0.000000
80,0.830,27.630,0.000000
81,0.389,22.270,0.000000
82,0.524,25.837,0.000000
83,0.625,48.995,0.000000
84,0.550,193.620,0.000000
85,0.999,84.678,0.000000
86,0.669,29.647,0.000000
87,0.764,30.116,0.000000
88,0.661,25.843,0.000000
89,0.938,30.658,0.000000
90,0.548,29.940,0.000000
91,0.797,27.048,0.000000
92,0.641,27.550,0.000000
93,0.929,28.582,0.000000
94,0.652,31.428,0.000000
95,0.402,25.094,0.000000
96,0.759,24.241,0.000000
97,0.383,26.358,0.000000
98,0.763,30.776,0.000000
99,0.745,26.102,0.000000
